,Source,Destination,Class
580,153,6019,1
581,153,7112,1
582,153,4949,1
583,153,2439,1
584,153,2845,1
585,153,6244,1
586,153,4076,1
587,153,2466,1
588,153,1283,1
589,153,6917,1
590,4249,4406,1
591,4249,4949,1
592,2202,7091,1
593,2202,3925,1
594,4251,4406,1
595,4251,6717,1
596,4251,1535,1
597,157,1414,1
598,157,4949,1
599,4254,6019,1
600,154,2447,1
601,154,2732,1
602,154,5842,1
603,154,6136,1
604,154,2781,1
605,154,4949,1
606,154,668,1
607,4256,4374,1
608,4256,5945,1
609,4256,5523,1
610,4256,5138,1
611,4256,4949,1
612,4256,5802,1
613,2218,4242,1
614,2218,2934,1
615,2218,3845,1
616,2218,4949,1
617,2218,4076,1
618,2218,6459,1
619,2218,2275,1
620,2218,1904,1
621,173,5191,1
622,173,5945,1
623,174,4444,1
624,176,952,1
625,176,4356,1
626,176,6482,1
627,176,7104,1
628,176,2345,1
629,2225,5138,1
630,2225,3713,1
631,2225,4949,1
632,4274,4639,1
633,4274,4612,1
634,4274,6716,1
635,4274,4681,1
636,6321,5269,1
637,180,2732,1
638,180,3838,1
639,180,1924,1
640,180,570,1
641,180,4949,1
642,180,5387,1
643,4282,6716,1
644,4282,132,1
645,4282,6862,1
646,4282,5842,1
647,4282,6600,1
648,6335,6921,1
649,195,2732,1
650,195,2740,1
651,195,6136,1
652,195,2064,1
653,195,5402,1
654,195,4949,1
655,6339,4949,1
656,2247,6808,1
657,2247,6091,1
658,2247,5569,1
659,2247,2345,1
660,2248,5768,1
661,2248,490,1
662,2248,6056,1
663,2248,5419,1
664,2248,4469,1
665,2248,6138,1
666,2252,4949,1
667,4303,6475,1
668,4303,5466,1
669,4303,6910,1
670,2257,5191,1
671,2257,5138,1
672,6357,5710,1
673,6357,6778,1
674,6357,5842,1
675,6357,5876,1
676,6357,6202,1
677,6357,5787,1
678,6357,6921,1
679,6357,6722,1
680,6357,6042,1
681,6357,5934,1
682,6357,2345,1
683,6357,6930,1
684,2262,5979,1
685,2262,2275,1
686,2262,6024,1
687,2262,4913,1
688,2262,4315,1
689,2262,4027,1
690,2262,4595,1
691,2262,6649,1
692,214,1473,1
693,214,1351,1
694,214,3725,1
695,214,986,1
696,214,5350,1
697,214,5466,1
698,214,430,1
699,214,2428,1
700,214,5921,1
701,214,5069,1
702,214,3371,1
703,214,6533,1
704,217,5768,1
705,217,665,1
706,217,5569,1
707,217,2345,1
708,217,4191,1
709,217,5611,1
710,217,304,1
711,4314,4639,1
712,4314,5912,1
713,4314,5731,1
714,4314,4863,1
715,4314,4709,1
716,4314,5073,1
717,4314,5268,1
718,4315,1673,1
719,4317,5842,1
720,4317,4949,1
721,4317,6716,1
722,6368,5269,1
723,2275,2934,1
724,2275,2451,1
725,2275,4242,1
726,2275,4700,1
727,2275,6136,1
728,2275,6716,1
729,2275,5554,1
730,2275,5120,1
731,2275,2887,1
732,2275,3243,1
733,2275,3065,1
734,2275,6459,1
735,2275,5069,1
736,2275,5338,1
737,2275,6941,1
738,2275,5210,1
739,2275,5451,1
740,2275,4748,1
741,2275,3237,1
742,6372,4949,1
743,2284,6357,1
744,2284,5276,1
745,2284,4406,1
746,2284,5569,1
747,4337,5569,1
748,4337,4370,1
749,4337,5387,1
750,4337,2345,1
751,243,4196,1
752,243,2444,1
753,243,3784,1
754,243,792,1
755,243,5312,1
756,243,700,1
757,243,5569,1
758,243,6533,1
759,244,3401,1
760,244,5842,1
761,244,4949,1
762,245,1924,1
763,245,6136,1
764,2294,2997,1
765,2294,4374,1
766,2295,2526,1
767,2295,4439,1
768,2295,6584,1
769,4341,6475,1
770,4341,6931,1
771,4341,5730,1
772,4341,4611,1
773,4341,4374,1
774,2304,7044,1
775,2304,6649,1
776,2304,6404,1
777,258,5466,1
778,258,877,1
779,258,6716,1
780,258,5387,1
781,6402,5842,1
782,6404,6750,1
783,6404,6921,1
784,4356,4949,1
785,4356,5979,1
786,2315,4681,1
787,2316,3031,1
788,2316,6136,1
789,2316,4949,1
790,269,2026,1
791,269,4949,1
792,6415,4949,1
793,6415,3925,1
794,4370,2345,1
795,275,788,1
796,275,4444,1
797,275,3838,1
798,275,6136,1
799,275,1407,1
800,275,6808,1
801,275,4709,1
802,275,3401,1
803,275,4406,1
804,275,5569,1
805,275,2928,1
806,2323,3682,1
807,2323,5091,1
808,2323,5969,1
809,2323,5007,1
810,2323,1863,1
811,2323,4374,1
812,2323,3739,1
813,4371,6056,1
814,4374,4621,1
815,4374,4611,1
816,4374,5969,1
817,4374,5730,1
818,4374,593,1
819,4374,6357,1
820,4374,4841,1
821,4374,4913,1
822,4374,4444,1
823,4374,5789,1
824,4374,5269,1
825,4374,5138,1
826,4374,4700,1
827,4374,5007,1
828,4374,6397,1
829,280,3864,1
830,280,4949,1
831,2330,2605,1
832,2330,6210,1
833,2330,6716,1
834,2330,5556,1
835,2330,6034,1
836,2330,4374,1
837,2330,6931,1
838,2334,2719,1
839,2334,5541,1
840,2334,2439,1
841,2334,5138,1
842,2338,2732,1
843,2338,5138,1
844,2338,2466,1
845,2338,4949,1
846,6436,5269,1
847,2345,6921,1
848,2345,6465,1
849,2345,7057,1
850,2345,6590,1
851,2345,5519,1
852,2345,6731,1
853,2345,6768,1
854,2345,6533,1
855,2348,3275,1
856,2348,2345,1
857,2348,4370,1
858,301,2447,1
859,301,2719,1
860,301,4374,1
861,301,792,1
862,301,4913,1
863,4399,5842,1
864,2352,3838,1
865,2352,1402,1
866,2352,6221,1
867,2352,6415,1
868,2352,972,1
869,2352,3499,1
870,2352,4949,1
871,2352,2381,1
872,2352,744,1
873,2352,6094,1
874,2352,3237,1
875,2352,3747,1
876,2352,4630,1
877,2352,5842,1
878,2352,5191,1
879,2352,5419,1
880,2352,877,1
881,2352,5969,1
882,2352,4256,1
883,2352,4979,1
884,2352,3653,1
885,2352,3991,1
886,2352,3886,1
887,2352,890,1
888,2352,6138,1
889,2352,1554,1
890,2352,792,1
891,2352,5910,1
892,2352,4124,1
893,2352,2669,1
894,2352,1883,1
895,2352,5934,1
896,2352,4143,1
897,2352,5315,1
898,2352,2225,1
899,2352,5298,1
900,2352,807,1
901,2352,2586,1
902,2352,5759,1
903,2352,2106,1
904,2352,1257,1
905,2352,4242,1
906,2352,1059,1
907,2352,6098,1
908,2352,2088,1
909,2352,1483,1
910,2352,2439,1
911,2352,4921,1
912,2352,4155,1
913,2352,4374,1
914,2352,2845,1
915,2352,1601,1
916,2352,7053,1
917,2352,1399,1
918,304,4196,1
919,304,6917,1
920,304,932,1
921,304,1598,1
922,304,1002,1
923,304,2345,1
924,304,5569,1
925,4406,2155,1
926,4406,6448,1
927,4406,6930,1
928,4406,5100,1
929,4406,6359,1
930,4406,6019,1
931,4406,4682,1
932,4406,6649,1
933,4406,5256,1
934,4406,5149,1
935,4406,5854,1
936,4406,5797,1
937,4406,5402,1
938,4406,5234,1
939,4406,5428,1
940,4406,4709,1
941,4406,5686,1
942,4406,2345,1
943,4406,4757,1
944,4406,5268,1
945,4408,7021,1
946,4408,4949,1
947,2362,2381,1
948,2362,5934,1
949,2362,4921,1
950,6459,5969,1
951,6459,6465,1
952,6459,2345,1
953,6465,6810,1
954,4418,5912,1
955,4418,4949,1
956,6475,7112,1
957,4427,4949,1
958,2381,5224,1
959,2381,4886,1
960,2381,5969,1
961,2381,6716,1
962,2381,4374,1
963,2381,2887,1
964,2381,6862,1
965,2381,2617,1
966,2381,3160,1
967,2381,2447,1
968,2381,6921,1
969,2381,4681,1
970,2381,2439,1
971,2381,4191,1
972,2381,2845,1
973,2381,5934,1
974,2381,4913,1
975,2381,5215,1
976,2381,4196,1
977,2381,2904,1
978,2381,5842,1
979,2381,4639,1
980,2381,6865,1
981,2381,4624,1
982,2381,3138,1
983,2381,3320,1
984,2381,7053,1
985,2381,4553,1
986,2381,4902,1
987,6482,5460,1
988,6482,5979,1
989,6482,5842,1
990,343,4121,1
991,343,974,1
992,343,6716,1
993,343,4732,1
994,343,2186,1
995,343,3616,1
996,343,3401,1
997,343,3840,1
998,343,1601,1
999,343,5268,1
1000,343,6181,1
1001,343,4090,1
1002,344,5969,1
1003,345,1924,1
1004,345,5842,1
1005,2394,3401,1
1006,2394,6136,1
1007,4444,4621,1
1008,4444,6436,1
1009,4444,6910,1
1010,4444,6357,1
1011,4444,5842,1
1012,4444,5269,1
1013,4444,5886,1
1014,4444,4863,1
1015,4444,5776,1
1016,4444,5730,1
1017,4444,5333,1
1018,4444,4700,1
1019,4444,5007,1
1020,351,4274,1
1021,351,1869,1
1022,351,4949,1
1023,4439,5100,1
1024,4439,6783,1
1025,4439,5073,1
1026,4439,5338,1
1027,4439,5530,1
1028,4439,5802,1
1029,4439,3198,1
1030,4439,5571,1
1031,4439,4597,1
1032,4439,6135,1
1033,4439,2345,1
1034,4439,5485,1
1035,4439,7119,1
1036,2403,4196,1
1037,2403,6357,1
1038,2403,6716,1
1039,2403,2087,1
1040,2403,2904,1
1041,2403,5842,1
1042,2403,7104,1
1043,2403,4816,1
1044,2403,2466,1
1045,2403,5802,1
1046,2403,4124,1
1047,2403,3739,1
1048,2403,6160,1
1049,2403,6808,1
1050,2403,2845,1
1051,2403,1237,1
1052,2403,4191,1
1053,2403,5485,1
1054,2403,3237,1
1055,362,1883,1
1056,362,1924,1
1057,362,3706,1
1058,362,6491,1
1059,366,5569,1
1060,366,5987,1
1061,366,3840,1
1062,368,2026,1
1063,368,1120,1
1064,368,3894,1
1065,368,972,1
1066,368,6964,1
1067,368,3285,1
1068,368,4027,1
1069,368,563,1
1070,368,1089,1
1071,368,5842,1
1072,368,3533,1
1073,368,475,1
1074,368,5530,1
1075,368,6637,1
1076,368,3868,1
1077,368,3320,1
1078,368,1165,1
1079,368,6024,1
1080,368,4949,1
1081,368,6359,1
1082,367,2125,1
1083,367,1812,1
1084,367,2781,1
1085,367,1481,1
1086,367,3991,1
1087,367,4124,1
1088,367,2887,1
1089,367,2403,1
1090,367,4949,1
1091,370,5458,1
1092,370,2838,1
1093,370,792,1
1094,370,4826,1
1095,370,2087,1
1096,370,2218,1
1097,370,4949,1
1098,370,4282,1
1099,370,1812,1
1100,370,5333,1
1101,370,2845,1
1102,370,5138,1
1103,370,2106,1
1104,370,4196,1
1105,370,5842,1
1106,370,5191,1
1107,370,6921,1
1108,370,4098,1
1109,370,5523,1
1110,370,5355,1
1111,370,6716,1
1112,370,2466,1
1113,370,5069,1
1114,370,1237,1
1115,370,3991,1
1116,370,5509,1
1117,370,5485,1
1118,370,2247,1
1119,370,1283,1
1120,372,2719,1
1121,372,6480,1
1122,372,4949,1
1123,372,748,1
1124,372,739,1
1125,372,2740,1
1126,372,4196,1
1127,372,6357,1
1128,372,5842,1
1129,372,4639,1
1130,372,1481,1
1131,372,5303,1
1132,372,877,1
1133,372,6808,1
1134,372,5100,1
1135,372,7043,1
1136,372,1804,1
1137,372,3520,1
1138,372,1773,1
1139,372,1869,1
1140,372,901,1
1141,372,494,1
1142,372,2872,1
1143,372,4659,1
1144,372,2426,1
1145,372,5333,1
1146,372,506,1
1147,372,807,1
1148,372,5759,1
1149,372,2345,1
1150,372,4799,1
1151,372,3607,1
1152,372,6870,1
1153,372,2934,1
1154,372,5523,1
1155,372,3819,1
1156,372,4256,1
1157,372,1812,1
1158,372,3042,1
1159,372,2247,1
1160,2423,5842,1
1161,2423,5228,1
1162,2423,5338,1
1163,2423,6118,1
1164,2423,2345,1
1165,375,3902,1
1166,375,2087,1
1167,375,4949,1
1168,2426,4196,1
1169,2426,6357,1
1170,2426,4444,1
1171,2426,5842,1
1172,2426,5228,1
1173,2426,7021,1
1174,2426,6716,1
1175,2426,6808,1
1176,2426,3285,1
1177,2426,4702,1
1178,2426,3320,1
1179,2426,5312,1
1180,2426,2845,1
1181,2426,5569,1
1182,2426,6812,1
1183,2426,3237,1
1184,2428,4196,1
1185,2428,6716,1
1186,380,1059,1
1187,380,2262,1
1188,380,1483,1
1189,380,2304,1
1190,380,4201,1
1191,380,4949,1
1192,6526,3042,1
1193,6526,366,1
1194,6526,367,1
1195,6526,5912,1
1196,6526,877,1
1197,6526,6808,1
1198,6526,1158,1
1199,6526,6812,1
1200,6526,1812,1
1201,6526,5569,1
1202,383,2049,1
1203,383,4314,1
1204,383,6136,1
1205,383,7043,1
1206,383,2740,1
1207,383,5825,1
1208,383,5748,1
1209,383,2061,1
1210,383,4949,1
1211,388,1924,1
1212,388,3219,1
1213,2439,2719,1
1214,2439,3458,1
1215,2439,5519,1
1216,2439,5969,1
1217,2439,4949,1
1218,2439,2447,1
1219,2439,4191,1
1220,2439,5138,1
1221,2439,2586,1
1222,2439,4027,1
1223,2439,3185,1
1224,2439,3465,1
1225,2439,5191,1
1226,2439,6056,1
1227,2439,6716,1
1228,2439,4841,1
1229,2439,4979,1
1230,2439,3819,1
1231,2439,4374,1
1232,2439,2845,1
1233,2439,6465,1
1234,2439,6584,1
1235,2439,5523,1
1236,2439,2928,1
1237,392,1924,1
1238,392,1402,1
1239,392,5556,1
1240,392,6801,1
1241,392,4658,1
1242,392,4076,1
1243,4488,5269,1
1244,4488,5428,1
1245,4488,6661,1
1246,4488,4949,1
1247,393,5842,1
1248,393,4949,1
1249,393,7004,1
1250,2444,4962,1
1251,2444,4841,1
1252,2444,6482,1
1253,2444,5987,1
1254,2444,5753,1
1255,2444,2507,1
1256,2444,2589,1
1257,2444,5802,1
1258,2447,5276,1
1259,2447,6415,1
1260,2447,4427,1
1261,2447,3285,1
1262,2447,6042,1
1263,2447,4681,1
1264,2447,863,1
1265,2447,2762,1
1266,2447,6676,1
1267,2447,2589,1
1268,2447,5842,1
1269,2447,3533,1
1270,2447,1958,1
1271,2447,6930,1
1272,2447,5100,1
1273,2447,3120,1
1274,2447,3026,1
1275,2447,6359,1
1276,2447,5369,1
1277,2447,4884,1
1278,2447,2882,1
1279,2447,3436,1
1280,2447,5541,1
1281,2447,2887,1
1282,2447,2088,1
1283,2447,2571,1
1284,2447,3797,1
1285,2447,6584,1
1286,2447,3495,1
1287,2447,6024,1
1288,2447,5338,1
1289,2447,5138,1
1290,2447,4076,1
1291,2447,4913,1
1292,2447,2451,1
1293,2447,4921,1
1294,2447,4702,1
1295,2447,3618,1
1296,2447,5749,1
1297,2447,6563,1
1298,2447,2466,1
1299,2447,4923,1
1300,2447,7027,1
1301,2447,2928,1
1302,2447,2719,1
1303,2447,4949,1
1304,2447,5396,1
1305,2447,5509,1
1306,2447,2740,1
1307,2447,3864,1
1308,2447,5187,1
1309,2447,5419,1
1310,2447,5969,1
1311,2447,4841,1
1312,2447,6812,1
1313,2447,3886,1
1314,2447,3440,1
1315,2447,6327,1
1316,2447,3894,1
1317,2447,5234,1
1318,2447,2889,1
1319,2447,6921,1
1320,2447,3458,1
1321,2447,2304,1
1322,2447,2586,1
1323,2447,1059,1
1324,2447,2345,1
1325,2447,3925,1
1326,2447,6056,1
1327,2447,5945,1
1328,2447,2997,1
1329,2447,7109,1
1330,2447,4595,1
1331,2447,4374,1
1332,2447,4597,1
1333,2447,6404,1
1334,2451,4065,1
1335,2451,3845,1
1336,2451,3499,1
1337,2451,5069,1
1338,2451,3739,1
1339,2451,5451,1
1340,2451,5338,1
1341,2451,1535,1
1342,2451,4913,1
1343,2451,5458,1
1344,2451,6210,1
1345,2451,4863,1
1346,2451,5730,1
1347,2451,2345,1
1348,2451,3021,1
1349,2458,2732,1
1350,2458,5228,1
1351,2458,4949,1
1352,2458,4076,1
1353,6556,1059,1
1354,6556,4949,1
1355,2466,2719,1
1356,2466,2484,1
1357,2466,4732,1
1358,2466,6778,1
1359,2466,2562,1
1360,2466,5396,1
1361,2466,4098,1
1362,2466,3462,1
1363,2466,6801,1
1364,2466,4861,1
1365,2466,4863,1
1366,2466,6131,1
1367,2466,4444,1
1368,2466,7023,1
1369,2466,6621,1
1370,2466,3551,1
1371,2466,2888,1
1372,2466,2088,1
1373,2466,3379,1
1374,2466,3991,1
1375,2466,5333,1
1376,2466,6649,1
1377,2466,490,1
1378,2466,5138,1
1379,2466,1535,1
1380,2466,3241,1
1381,2466,4913,1
1382,2466,5458,1
1383,2466,6563,1
1384,2466,7104,1
1385,2466,6755,1
1386,2466,5091,1
1387,2466,4816,1
1388,2466,5268,1
1389,4518,6621,1
1390,4518,4962,1
1391,425,4949,1
1392,4524,5969,1
1393,4524,5747,1
1394,428,2064,1
1395,428,3925,1
1396,428,4702,1
1397,428,6019,1
1398,428,1773,1
1399,428,4949,1
1400,428,1399,1
1401,430,1402,1
1402,430,4337,1
1403,430,3621,1
1404,430,5338,1
1405,430,3688,1
1406,430,5759,1
1407,430,1904,1
1408,430,4242,1
1409,430,932,1
1410,430,2114,1
1411,430,526,1
1412,430,1996,1
1413,430,1334,1
1414,430,5210,1
1415,430,6465,1
1416,430,675,1
1417,430,5569,1
1418,4531,4949,1
